NIVEL=1
CAMINO=1
0;7
1;7
2;7
3;7
4;7
5;7
6;7
7;7
8;7
9;7
10;7
11;7
12;7
13;7
14;7
NIVEL=2
CAMINO=2
7;0
7;1
7;2
7;3
7;4
7;5
7;6
7;7
7;8
7;9
7;10
7;11
7;12
7;13
7;14
NIVEL=3
CAMINO=1
19;9
18;9
17;9
16;9
15;9
14;9
13;9
12;9
12;10
12;11
11;11
10;11
9;11
8;11
7;11
7;10
7;9
7;8
6;8
5;8
4;8
3;8
2;8
1;8
0;8
NIVEL=3
CAMINO=2
10;0
10;1
10;2
10;3
10;4
10;5
10;6
10;7
10;8
10;9
10;10
10;11
10;12
9;12
8;12
7;12
7;13
7;14
7;15
7;16
7;17
7;18
7;19
NIVEL=4
CAMINO=1
10;0
10;1
10;2
10;3
10;4
10;5
10;6
10;7
10;8
10;9
11;9
12;9
13;9
14;9
15;9
16;9
17;9
18;9
18;10
18;11
18;12
18;13
18;14
18;15
18;16
18;17
17;17
16;17
15;17
14;17
13;17
13;18
13;19
NIVEL=4
CAMINO=2
0;18
1;18
2;18
3;18
4;18
5;18
6;18
7;18
7;17
7;16
7;15
7;14
7;13
7;12
8;12
9;12
10;12
11;12
11;11
11;10
11;9
11;8
11;7
11;6
12;6
13;6
14;6
15;6
16;6
17;6
18;6
19;6
